"pc_middleages_foundry","Foundry","A typical medieval foundry."
"pc_middleages_anvil_tin","Tin Anvil","A tin anvil."
"pc_middleages_anvil_copper","Copper Anvil","A copper anvil."
"pc_middleages_anvil_bronze","Bronze Anvil","A bronze anvil."
"pc_middleages_anvil","Iron Anvil","An iron anvil."
"pc_anvil_steel","Steel Anvil","A steel anvil."
"pc_anvil_silver","Silver Anvil","A silver anvil."
"pc_anvil_gold","Golden Anvil","A golden anvil."
"pc_middleages_cauldron","Middle Ages Cauldron","A cauldron allowing you to prepare various mixtures."
"pc_middleages_besidetable", "Middle Ages Beside Table", "A wooden beside table"
"pc_table_transformation","Transformation Table","Allows you to transform into an infinity of monsters."
"pc_meat_rack","Meat rack","A meat drying rack."

"pc_chicken_manger","Chicken Manger","A manger for hens."
"pc_cow_manger","Cow Manger","A manger for cows."

"pc_block_maker","Block Maker","A very curious machine capable of transforming raw materials into blocks."
"pc_runic_anvil","Runic Anvil","A runic anvil allowing you to socket runes into your equipment."
"pc_campfire","Campfire","A campfire allowing you to regenerate health points!"

"pc_alchemy_bookcase","Alchemy Bookcase","A bookcase full of alchemy books."
"pc_alchemy_door","Alchemy Door","An alchemy door warning anyone trying to go through it."
"pc_alchemy_table","Alchemy Table","An alchemy table allowing you to create potions."
"pc_alchemy_table2","Alchemy Table","An alchemy table allowing you to create potions."
"pc_alchemy_chair","Alchemy Chair","A chair made for an alchemist."
"pc_alchemy_skull","Alchemy Skull","A skull used as a candlestick."

"pc_donjon_platform","Dungeon Platform","A platform recovered in a dungeon."
"pc_soul_crystal","Soul Crystal","This mysterious crystal contains a lot of souls, collected over the years."

"pc_flesh_workbench","Flesh Workbench", "A workbench made of flesh. Not for the faint hearted!"
"pc_flesh_banner","Flesh Banner","A banner made of flesh. Not for the faint hearted!"
"pc_flesh_chair","Flesh Chair","A chair made of flesh. Not for the faint hearted!"
"pc_flesh_chandelier","Flesh Chandelier","A candlestick made of flesh. Not for the faint hearted!"
"pc_flesh_couch","Flesh Couch","A couch made of flesh. Not for the faint hearted!"
"pc_flesh_decoration","Flesh Decoration","A decoration made of flesh. Not for the faint hearted!"
"pc_flesh_decoration2","Flesh Decoration","A decoration made of flesh. Not for the faint hearted!"
"pc_flesh_door","Flesh Door","A door made of flesh. Not for the faint hearted!"
"pc_flesh_table","Flesh Table","A chair made of flesh. Not for the faint hearted!"
"pc_flesh_wardrobe","Flesh Wardrobe","A wardrobe made of flesh. Not for the faint hearted!"
"pc_flesh_wardrobe2","Flesh Wardrobe","A wardrobe made of flesh. Not for the faint hearted!"

"pc_gold_platform","Golden Platform","A golden platform!"
"pc_gold_workbench","Golden Workbench","A golden workbench!"
"pc_gold_armchair";"Golden Armchair","A golden armchair!"
"pc_gold_commode","Golden Commode","A golden commode!"
"pc_gold_bed","Golden Bed","A golden bed!"
"pc_gold_candlestick","Golden Candlestick","A golden candlestick!"
"pc_gold_chair","Golden Chair","A golden chair!"
"pc_gold_couch","Colden Couch","A golden couch!"
"pc_gold_door","Golden Door","A golden door!"
"pc_gold_table","Golden Table","A golden table!"
"pc_gold_table2","Golden Table","A golden table!"
"pc_gold_wardrobe","Golden Wardrobe","A golden wardrobe!"
"pc_gold_chandelier","Golden Chandelier","A golden chandelier!"
"pc_brick_gold1","Golden Brick","A golden brick!"
"pc_brick_gold2","Golden Brick","A golden brick!"
"pc_brick_gold3","Golden Block","A golden block!"

"pc_ice_workbench","Ice Workbench", "A workbench made of ice."
"pc_ice_table","Ice Table","A table made of ice."
"pc_ice_table2","Ice Table","A table made of ice."
"pc_ice_chair","Ice Chair","A chair made of ice."
"pc_ice_armchair","Ice Armchair","An armchair made of ice."
"pc_ice_sofa","Ice Sofa","A sofa made of ice."
"pc_ice_bed","Ice Bed","A bed made of ice."
"pc_ice_wardrobe","Ice Wardrobe","A wardrobe made of ice."
"pc_ice_commode", "Ice Drawers", "A drawers made of ice."
"pc_ice_chandelier","Ice Chandelier","A chandelier made of ice."
"pc_ice_floor_lamp","Ice Lamp", "A lamp made of ice."
"pc_ice_door","Ice Door","A door made of ice."
"pc_ice_platform","Ice platform","A platform made of ice."

"pc_slime_workbench","Slime Workbench","A workbench made of slime remains. I wonder how they hold together..."
"pc_slime_table","Slime Table","A table made of slime remains. I wonder how they hold together..."
"pc_slime_table2","Slime Table","A table made of slime remains. I wonder how they hold together..."
"pc_slime_table3","Slime Table","A table made of slime remains. I wonder how they hold together..."
"pc_slime_chair","Slime Chair","A chair made of slime remains. I wonder how they hold together..."
"pc_slime_armchair2","Slime Armchair","An armchair made of slime remains. I wonder how they hold together..."
"pc_slime_armchair","Slime Sofa","A sofa made of slime remains. I wonder how they hold together..."
"pc_slime_bed","Slime Bed","A bed made of slime remains. I wonder how they hold together..."
"pc_slime_ceil_lamp","Slime Chandelier","A chandelier made of slime remains. I wonder how they hold together..."
"pc_slime_ceil_lamp2","Slime Chandelier","A chandelier made of slime remains. I wonder how they hold together..."
"pc_slime_door","Slime Door","A door made of slime remains. I wonder how they hold together..."
"pc_slime_platform","Slime Platform","A platform made of slime remains. I wonder how they hold together..."

"pc_torture_workbench","Torture Workbench","Torture Workbench"
"pc_torture_table","Torture Table","Spikes on a table. Everything's fine."
"pc_torture_table2","Torture Table","Spikes on a table. Everything's fine."
"pc_torture_chair","Torture Chair","The perfect chair to relax..."
"pc_torture_chair2","Torture Chair","The perfect chair to relax..."
"pc_torture_chair3","Torture Chair","The perfect chair to relax..."
"pc_torture_sofa","Torture Sofa","Sit down. It's very comfortable, you'll see!"
"pc_torture_couch","Torture Couch","This may not be the most comfortable couch ever."
"pc_torture_couch2","Torture Couch","This may not be the most comfortable couch ever."
"pc_torture_couch3","Torture Couch","This may not be the most comfortable couch ever."
"pc_torture_bed","Torture Bed","Have fun sleeping on this!"
"pc_torture_bed2","Torture Bed","Have fun sleeping on this!"
"pc_torture_decoration6","Torture Decoration","Some very tasteful decorations."
"pc_torture_wardrobe","Torture Wardrobe","A wardrobe to store your clothes and tools."
"pc_torture_wardrobe2","Torture Wardrobe","A wardrobe to store your clothes and tools."
"pc_torture_commode","Torture Commode","A commode that will fulfill every sadist."
"pc_torture_chandelier","Torture Chandelier","This chandelier will brighten your ceiling."
"pc_torture_door","Torture Door","This doors clearly shows what to expect behind it."
"pc_torture_cage","Torture Cage","The ideal cage to settle your guests."
"pc_torture_iron_maiden","Iron Maiden","An antique torture instrument."
"pc_torture_decoration","Torture Decoration","Some very tasteful decorations."
"pc_torture_decoration2","Torture Decoration","Some very tasteful decorations."
"pc_torture_decoration3","Torture Decoration","Some very tasteful decorations."
"pc_torture_decoration4","Torture Decoration","Some very tasteful decorations."
"pc_torture_decoration5","Torture Decoration","Some very tasteful decorations."
"pc_torture_platform","Torture Platform","Torture Platform."

"pc_middleages_banner","Middle Ages Banner","A banner with typical medieval designs."
"pc_middleages_banner2","Middle Ages Banner","A banner with typical medieval designs."
"pc_middleages_banner3","Middle Ages Banner","A banner with typical medieval designs."
"pc_middleages_bed","Middle Ages Bed","A typical medieval bed."
"pc_middleages_bed2","Middle Ages Bed","A typical medieval bed."
"pc_middleages_chandelier","Middle Ages Chandelier","A typical medieval chandelier."
"pc_middleages_bedsidetable","Middle Ages Bedside table","A typical medieval bedside table."
"pc_middleages_candlestick","Middle Ages Candlestick","A typical medieval candlestick."
"pc_middleages_table","Middle Ages Table","A typical medieval table."
"pc_middleages_wardrobe","Middle Ages Wardrobe","A medieval-styled wardrobe."
"pc_middleages_decoration","Middle Ages Decoration","A popular medieval decoration."
"pc_middleages_decoration3","Middle Ages Decoration","A popular medieval decoration."
"pc_middleages_decoration4","Middle Ages Decoration","A popular medieval decoration."
"pc_middleages_decoration5","Middle Ages Decoration","A popular medieval decoration."
"pc_middleages_decoration6","Middle Ages Decoration","A popular medieval decoration."
"pc_middleages_decoration7","Middle Ages Decoration","A popular medieval decoration."
"pc_middleages_lamp2","Middle Ages Lamp","A strangely crafted lamp, from the Middle Ages."
"pc_middleages_lamp3","Middle Ages Lamp","A lamp crafted like in the Middle Ages."
"pc_middleages_lampost","Middle Ages Lamp Post","A lamp post from the Middle Ages."
"pc_middleages_lamp","Middle Ages Lamp","A lamp crafted like in the Middle Ages."

"pc_rococo_platform","Rococo Platform","A platform in the pure Rococo style."
"pc_rococo_woodworking","Rococo Woodworking","A woodworking in the pure Rococo style."
"pc_rococo_table","Rococo Table","A table in the pure Rococo style."
"pc_rococo_bed","Rococo Bed","A bed in the pure Rococo style."
"pc_rococo_wardrobe","Rococo Wardrobe","A wardrobe in the pure Rococo style."
"pc_rococo_door","Rococo Door","A door in the pure Rococo style."
"pc_rococo_workbench","Rococo Workbench","A workbench in the pure Rococo style."
"pc_rococo_armchair","Rococo Armchair","An armchair in the pure Rococo style."
"pc_rococo_besidetable","Rococo Bedside Dresser","A bedside table in the pure Rococo style."
"pc_rococo_besidetable2","Rococo Bedside Dresser","A bedside table in the pure Rococo style."
"pc_rococo_dresser","Rococo Dresser","A dresser in the pure Rococo style."
"pc_rococo_dresser2","Rococo Dresser","A dresser in the pure Rococo style."
"pc_rococo_chair","Rococo Chair","A chair in the pure Rococo style."
"pc_rococo_chandelier","Rococo Chandelier","A chandelier in the pure Rococo style."
"pc_rococo_couch","Rococo Couch","A couch in the pure Rococo style."
"pc_rococo_lamp","Rococo Lamp","A lamp in the pure Rococo style."

"pc_roman_banner_little1","Roman Little Banner","A banner decorated in the purest roman style."
"pc_roman_banner_little2","Roman Little Banner","A banner decorated in the purest roman style."
"pc_roman_banner1","Roman Banner","A banner decorated in the purest roman style."
"pc_roman_banner2","Roman Banner","A banner decorated in the purest roman style."
"pc_roman_banner3","Roman Banner","A banner decorated in the purest roman style."
"pc_roman_chair","Roman Chair","A roman-styled chair."
"pc_roman_commode","Roman Commode","A roman-styled commode."
"pc_roman_couch","Roman Couch","A roman-styled couch."
"pc_roman_door","Roman Door","A typical door from the roman empire."
"pc_roman_table","Roman Table","A typical table from roman habitations."
"pc_roman_wardrobe","Roman Wardrobe","A wardrobe with typical roman design."
"pc_roman_chandelier","Roman Chandelier","A chandelier crafted like in Roman Antiquity."
"pc_roman_chandelier2","Roman Chandelier","A chandelier crafted like in Roman Antiquity."

"pc_royal_banner1","Royal Banner","A banner worthy of kings."
"pc_royal_banner2","Royal Banner","A banner worthy of kings."
"pc_royal_banner3","Royal Banner","A banner worthy of kings."
"pc_royal_bed","Royal Bed","A bed worthy of kings."
"pc_royal_chandelier","Royal Chandelier","A finely-crafted royal chandelier."
"pc_royal_chandelier2","Royal Chandelier","A finely-crafted royal chandelier."
"pc_royal_chair","Royal Chair","A majestic throne which reinforces the aura of him who sits on it."
"pc_royal_brazier","Royal Brazier","A majestic brazier for long winter nights."
"pc_royal_lamp","Royal Lamp","A royal lamp."
"pc_royal_table","Royal Table","A royal table."
"pc_royal_wardrobe","Royal Wardrobe","A royal wardrobe."

"pc_ancien_platform","Ancient Platform","A platform created by an ancient civilization living in the desert."
"pc_ancien_sand_commode","Ancient Commode","A commode created by an ancient civilization living in the desert."
"pc_ancien_sand_workbench","Ancient Workbench","A workbench created by an ancient civilization living in the desert."
"pc_ancien_sand_wardrobe","Ancient Wardrobe","A wardrobe created by an ancient civilization living in the desert."
"pc_ancien_sand_wardrobe2","Ancient Wardrobe","A wardrobe created by an ancient civilization living in the desert."
"pc_ancien_sand_table","Ancient Table","A table created by an ancient civilization living in the desert."
"pc_ancien_sand_table2","Ancient Table","A table created by an ancient civilization living in the desert."
"pc_ancien_sand_table3","Ancient Table","A table created by an ancient civilization living in the desert."
"pc_ancien_sand_lamp","Ancient Lamp","A lamp created by an ancient civilization living in the desert."
"pc_ancien_sand_lamp2","Ancient Lamp","A lamp created by an ancient civilization living in the desert."
"pc_ancien_sand_bed","Ancient Bed","A bed created by an ancient civilization living in the desert."
"pc_ancien_sand_bed2","Ancient Bed","A bed created by an ancient civilization living in the desert."
"pc_ancien_sand_chair","Ancient Chair","A chair created by an ancient civilization living in the desert."
"pc_ancien_sand_door","Ancient Door","A door created by an ancient civilization living in the desert."

"pc_savage_door","Savage Door","A door made of bamboo and leather."
"pc_savage_door2","Savage Door","A door made of bamboo."
"pc_savage_bed","Savage Bed","A bed made of bamboo and leather."
"pc_savage_chandelier","Savage Chandelier","A chandelier made of bamboo."
"pc_savage_armchair","Savage Armchair","A chair made of bamboo and leather."
"pc_savage_couch","Savage Couch","A bed made of bamboo and leather."
"pc_savage_brazier","Savage Brazier","A brazier made of bamboo and leather."
"pc_savage_table","Savage Table","A table made of bamboo and leather."
"pc_savage_wardrobe","Savage Wardrobe","A wardrobe made of bamboo and leather."

"pc_stoneage_platform","Stone Age Platform","A platform of a prehistoric style."
"pc_stoneage_table","Stone Age Table","A table of a prehistoric style."
"pc_stoneage_workbench","Stone Age Workbench","A workbench of a prehistoric style."
"pc_stoneage_wardrobe","Stone Age Wardrobe","A wardrobe of a prehistoric style."
"pc_stoneage_table1","Stone Age Table","A table of a prehistoric style."
"pc_stoneage_table2","Stone Age Table","A table of a prehistoric style."
"pc_stoneage_table3","Stone Age Table","A table of a prehistoric style."
"pc_stoneage_chair","Stone Age Chair","A chair of a prehistoric style."
"pc_stoneage_chair2","Stone Age Chair","A chair of a prehistoric style."
"pc_stoneage_bed","Stone Age Bed","A bed of a prehistoric style."
"pc_stoneage_chandelier","Stone Age Chandelier","A chandelier of a prehistoric style."
"pc_stoneage_chandelier2","Stone Age Chandelier","A chandelier of a prehistoric style."
"pc_stoneage_commode","Stone Age Commode","A commode of a prehistoric style."
"pc_stoneage_decoration","Stone Age Decoration","A painted stone of a prehistoric style."
"pc_stoneage_sofa","Stone Age Sofa","A sofa of a prehistoric style."
"pc_torch_wood","Glowing Wooden Stick","This is not a torch, but it lights nearly as much."
"pc_torch","Torch","This wooden torch will be your ally in the darkest caverns."
"pc_torch_donjon","Dungeon Torch","A torch that would give any room an unsettling aura."
"pc_torch_green","Torch","This wooden torch will be your ally in the darkest caverns."
"pc_torch_aqua","Torch","This wooden torch will be your ally in the darkest caverns."

"pc_wood_barrel","Wooden Barrel","A wooden barrel, for storing commodities."
"pc_wood_bedside_table","Wooden Bedside Table","A tough wooden bedside table."
"pc_wood_bedside_table_2","Wooden Bedside Table","A tough wooden bedside table."
"pc_wood_table","Wooden Table","A simple table, but it's made of solid wood."
"pc_wood_table_2","Wooden Table","A simple table, but it's made of solid wood."
"pc_wood_table_3","Wooden Table","A simple table, but it's made of solid wood."
"pc_wood_door","Wooden Door","A solid door made of thick wood planks."
"pc_wood_chair","Wooden Chair","A solid wooden chair."
"pc_wood_chair_2","Wooden Chair","A solid wooden chair."
"pc_wood_box","Wooden Box","A wooden box, for multiple purposes."
"pc_wood_little_box","Wooden Little Box","A little wooden box, for storing merchandise."
"pc_wood_stool","Wooden Stool","A stool made of wood."
"pc_wood_stool_2","Wooden Stool","A stool made of wood."
"pc_wood_weapon_rack","Wooden Weapon Rack","A weapon rack made of solid wood."
"pc_wood_platform","Wooden Platform","A simple but tough wooden platform."
"pc_wooden_sign_up","Wooden Sign","A wooden sign, to give indications."
"pc_wooden_sign_down","Wooden Sign","A wooden sign, to give indications."
"pc_wooden_sign_right","Wooden Sign","A wooden sign, to give indications."
"pc_zombie_chandelier","Zombie Chandelier","A chandelier made of zombie parts. To each his own..."
"pc_zombie_chandelier2","Zombie Chandelier","A chandelier made of zombie parts. To each his own..."
"pc_zombie_armchair","Zombie Armchair","An armchair made of zombie parts. To each his own..."
"pc_zombie_lamp","Zombie Lamp","A lamp made of zombie parts. To each his own..."
"pc_zombie_brazier","Zombie Brazier","A brazier made of zombie parts. To each his own..."
"pc_zombie_table","Zombie Table","A table made of zombie parts. To each his own..."
"pc_drop_arrow_wood","Wooden Arrow","A basic but efficient arrow."
"pc_drop_arrow_iron","Iron Arrow","Tough and sharp. Rusts faster than a steel arrow."
"pc_drop_arrow_silver","Silver Arrow","Very useful against Triforce thieves."
"pc_drop_arrow_gold","Gold Arrow","Aim well, these arrows cost a real fortune!"
"pc_drop_arrow_dark","Dark Arrow","Dark arrows."
"pc_drop_agate1","Chipped Agate","A precious stone allowing to store spells."
"pc_drop_agate2","Flawed Agate","A precious stone allowing to store spells."
"pc_drop_agate3","Agate","A precious stone allowing to store spells."
"pc_drop_agate4","Polished Agate","A precious stone allowing to store spells."
"pc_drop_agate5","Flawless Agate","A precious stone allowing to store spells."
"pc_drop_agate6","Legendary Agate","A precious stone allowing to store spells."
"pc_drop_agate7","Divine Agate","A precious stone allowing to store spells."
"pc_drop_amethyst1","Chipped Amethyst","A precious stone allowing to store spells."
"pc_drop_amethyst2","Flawed Amethyst","A precious stone allowing to store spells."
"pc_drop_amethyst3","Amethyst","A precious stone allowing to store spells."
"pc_drop_amethyst4","Polished Amethyst","A precious stone allowing to store spells."
"pc_drop_amethyst5","Flawless Amethyst","A precious stone allowing to store spells."
"pc_drop_amethyst6","Legendary Amethyst","A precious stone allowing to store spells."
"pc_drop_amethyst7","Divine Amethyst","A precious stone allowing to store spells."
"pc_drop_diamond1","Chipped Diamond","A precious stone allowing to store spells."
"pc_drop_diamond2","Flawed Diamond","A precious stone allowing to store spells."
"pc_drop_diamond3","Diamond","A precious stone allowing to store spells."
"pc_drop_diamond4","Polished Diamond","A precious stone allowing to store spells."
"pc_drop_diamond5","Flawless Diamond","A precious stone allowing to store spells."
"pc_drop_diamond6","Legendary Diamond","A precious stone allowing to store spells."
"pc_drop_diamond7","Divine Diamond","A precious stone allowing to store spells."
"pc_drop_emerald1","Chipped Emerald","A precious stone allowing to store spells."
"pc_drop_emerald2","Flawed Emerald","A precious stone allowing to store spells."
"pc_drop_emerald3","Emerald","A precious stone allowing to store spells."
"pc_drop_emerald4","Polished Emerald","A precious stone allowing to store spells."
"pc_drop_emerald5","Flawless Emerald","A precious stone allowing to store spells."
"pc_drop_emerald6","Legendary Emerald","A precious stone allowing to store spells."
"pc_drop_emerald7","Divine Emerald","A precious stone allowing to store spells."
"pc_drop_onyx1","Chipped Onyx","A precious stone allowing to store spells."
"pc_drop_onyx2","Flawed Onyx","A precious stone allowing to store spells."
"pc_drop_onyx3","Onyx","A precious stone allowing to store spells."
"pc_drop_onyx4","Polished Onyx","A precious stone allowing to store spells."
"pc_drop_onyx5","Flawless Onyx","A precious stone allowing to store spells."
"pc_drop_onyx6","Legendary Onyx","A precious stone allowing to store spells."
"pc_drop_onyx7","Divine Onyx","A precious stone allowing to store spells."
"pc_drop_ruby1","Chipped Ruby","A precious stone allowing to store spells."
"pc_drop_ruby2","Flawed Ruby","A precious stone allowing to store spells."
"pc_drop_ruby3","Ruby","A precious stone allowing to store spells."
"pc_drop_ruby4","Polished Ruby","A precious stone allowing to store spells."
"pc_drop_ruby5","Flawless Ruby","A precious stone allowing to store spells."
"pc_drop_ruby6","Legendary Ruby","A precious stone allowing to store spells."
"pc_drop_ruby7","Divine Ruby","A precious stone allowing to store spells."
"pc_drop_saphire1","Chipped Sapphire","A precious stone allowing to store spells."
"pc_drop_saphire2","Flawed Sapphire","A precious stone allowing to store spells."
"pc_drop_saphire3","Sapphire","A precious stone allowing to store spells."
"pc_drop_saphire4","Polished Sapphire","A precious stone allowing to store spells."
"pc_drop_saphire5","Flawless Sapphire","A precious stone allowing to store spells."
"pc_drop_saphire6","Legedary Sapphire","A precious stone allowing to store spells."
"pc_drop_saphire7","Divine Sapphire","A precious stone allowing to store spells."
"pc_drop_topaz1","Chipped Topaz","A precious stone allowing to store spells."
"pc_drop_topaz2","Flawed Topaz","A precious stone allowing to store spells."
"pc_drop_topaz3","Topaz","A precious stone allowing to store spells."
"pc_drop_topaz4","Polished Topaz","A precious stone allowing to store spells."
"pc_drop_topaz5","Flawless Topaz","A precious stone allowing to store spells."
"pc_drop_topaz6","Legendary Sapphire","A precious stone allowing to store spells."
"pc_drop_topaz7","Divine Sapphire","A precious stone allowing to store spells."
"pc_drop_bar_zink","Zinc Bar","A zinc bar."
"pc_drop_bar_brass","Brass Bar","A bar made from an alloy of copper and Zinc"
"pc_drop_bar_copper","Copper Bar","A copper bar."
